Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,086071,1855,null,null,null,69.7,43.8,46.8,44.4,21.5,105.3,67.6,41.4,101.4,null
IDCJAC0001,086071,1856,60.4,24.9,71.4,121.1,75.1,71.0,59.8,31.1,88.6,70.6,35.4,46.7,756.1
IDCJAC0001,086071,1857,31.2,101.0,96.5,25.1,50.8,50.7,29.6,43.1,97.6,134.2,53.8,21.0,734.6
IDCJAC0001,086071,1858,22.4,124.8,27.7,15.5,35.3,8.0,63.2,36.6,61.4,22.3,75.4,169.9,662.5
IDCJAC0001,086071,1859,72.7,20.9,4.7,32.9,59.4,114.5,27.3,22.5,72.3,49.2,53.6,26.3,556.3
IDCJAC0001,086071,1860,50.3,2.6,49.3,115.2,28.2,31.6,40.2,20.1,49.1,70.5,55.5,133.6,646.2
IDCJAC0001,086071,1861,59.0,115.8,67.4,32.9,21.6,40.2,55.8,40.9,71.8,128.6,41.6,66.2,741.8
IDCJAC0001,086071,1862,31.8,4.9,26.4,91.2,111.7,60.0,67.6,54.1,21.0,53.0,10.8,29.5,562.0
IDCJAC0001,086071,1863,46.8,69.8,96.9,45.4,64.5,27.9,33.7,87.4,57.8,111.7,102.0,182.5,926.4
IDCJAC0001,086071,1864,52.5,66.1,46.7,115.1,25.9,20.8,72.1,62.2,59.0,104.4,16.4,56.3,697.5
IDCJAC0001,086071,1865,4.1,15.1,32.0,17.5,87.4,41.8,52.3,30.9,47.7,19.3,22.7,34.4,405.2
IDCJAC0001,086071,1866,36.4,9.1,54.5,14.6,74.2,41.7,51.8,57.4,52.8,82.9,55.2,39.8,570.4
IDCJAC0001,086071,1867,49.0,68.1,19.0,60.0,62.0,27.5,42.2,48.9,86.3,86.2,22.1,85.0,656.3
IDCJAC0001,086071,1868,53.7,25.2,26.0,33.5,40.9,30.0,38.2,25.6,52.5,28.2,81.1,30.0,464.9
IDCJAC0001,086071,1869,37.2,22.9,38.8,32.8,50.3,60.8,29.0,41.9,40.5,193.3,53.9,25.0,626.4
IDCJAC0001,086071,1870,80.1,0.8,8.7,122.1,65.0,91.8,78.8,56.7,149.3,111.5,82.0,12.2,859.0
IDCJAC0001,086071,1871,76.5,82.2,60.3,32.8,35.5,31.9,53.0,85.3,53.0,73.2,106.5,77.5,767.7
IDCJAC0001,086071,1872,123.4,27.9,46.4,38.5,61.9,92.0,55.5,72.5,33.4,72.8,114.4,88.2,826.9
IDCJAC0001,086071,1873,52.6,116.5,48.9,51.5,34.6,67.6,36.4,52.7,65.4,67.0,43.3,15.6,652.1
IDCJAC0001,086071,1874,54.5,18.5,150.7,64.2,52.1,37.5,36.0,60.9,73.0,71.4,54.2,48.7,721.7
IDCJAC0001,086071,1875,14.5,137.8,21.9,119.0,73.6,72.5,48.7,56.7,41.2,67.8,82.4,99.5,835.6
IDCJAC0001,086071,1876,35.6,13.5,56.4,72.2,58.3,30.9,26.6,47.3,39.2,69.5,127.5,35.8,612.8
IDCJAC0001,086071,1877,7.1,44.6,114.8,114.5,88.1,18.7,36.0,27.7,64.4,34.4,21.8,41.3,613.4
IDCJAC0001,086071,1878,1.0,110.2,128.3,95.2,18.6,72.7,28.4,65.9,56.2,36.4,25.9,6.2,645.0
IDCJAC0001,086071,1879,28.2,21.5,11.1,35.7,58.5,29.2,32.6,37.5,46.4,82.3,63.1,42.4,488.5
IDCJAC0001,086071,1880,31.1,49.6,96.8,80.7,69.7,59.0,28.7,51.8,140.0,56.0,32.3,28.8,724.5
IDCJAC0001,086071,1881,19.1,7.4,62.0,30.6,42.6,57.2,17.5,75.8,15.9,77.7,128.3,79.5,613.6
IDCJAC0001,086071,1882,7.4,7.4,23.8,57.6,64.5,36.4,56.7,49.9,37.7,46.7,102.0,79.2,569.3
IDCJAC0001,086071,1883,11.1,39.7,105.7,24.1,50.7,50.0,64.8,22.1,41.8,71.1,81.9,40.7,603.7
IDCJAC0001,086071,1884,120.7,49.7,79.0,19.1,54.7,21.4,20.0,41.8,16.2,78.5,79.0,77.6,657.7
IDCJAC0001,086071,1885,19.2,69.5,60.9,64.0,31.5,92.3,29.0,39.7,98.5,47.6,94.3,38.8,685.3
IDCJAC0001,086071,1886,111.5,43.1,43.6,24.1,20.6,20.9,21.6,62.7,33.1,72.1,67.8,89.8,610.9
IDCJAC0001,086071,1887,28.3,67.2,20.7,123.5,50.5,77.4,66.4,26.3,68.8,72.0,84.2,139.1,824.4
IDCJAC0001,086071,1888,65.7,10.8,54.8,21.2,95.7,30.4,38.5,23.3,34.5,34.5,15.9,43.2,468.5
IDCJAC0001,086071,1889,133.5,38.2,6.1,91.6,23.8,70.3,38.8,54.2,39.4,73.8,108.1,39.3,717.1
IDCJAC0001,086071,1890,34.9,14.3,37.9,49.6,59.8,43.7,68.0,38.1,53.1,58.2,123.5,36.0,617.1
